Game Object;	Parameter;			  Value
Player;			level;					  1
;				life;					 25
;				lifeMax;				 25
;				recovery;				 10
;				silverKeys;				  0
;				goldKeys;				  0
;				action;					 50
;				actionMax;				 50
;				attack;					  1
;				attackMax;				  1
;				defense;				  1
;				defenseMax;				  1
;				gold;					  0
;				exp;					  0
;				skillPoints;			  3
;				actionRecoverMin;	   0.06
;				actionRecoverRate;	   0.01
;				lifeRecoverMin;		  0.004
;				lifeRecoverRate;	  0.002
;				attackRecoverMin;	   0.03
;				attackRecoverRate;	   0.01
;				defenseRecoverMin;	   0.03
;				defenseRecoverRate;	   0.01
Boss;			defensePower;			200
Enemy;			letterChance;			 25
;				turnTime;				500
Casino;			unlockLevel;			 40
;				winDollarItems;			  8
;				winDollarAmount;		200
;				winDollarType;		   GOLD
;				winAtItems;			  	 10
;				winAtAmount;			 20
;				winAtType;				EXP
;				winSevenItems;		  	 20
;				winSevenAmount;			777
;				winSevenType;		   GOLD
;				winStarItems;		  	 12
;				winStarAmount;			800
;				winStarType;		   GOLD
Mission;		progressMin;			 10
;				progressRange;			  3
;				letterChance;			  3
;				missionCompleteBonusEXP;  1.5
;				missionCompleteBonusGold; 1.5
Reward;			force;					5.5
;				gravityY;			   9.81
;				lifeTime;			    1.0
;				angle;				   30.0
SkillManager;	addRecoveryMin;			  1
;				addRecoveryMax;			  1
;				addAttackMin;			  1
;				addAttackMax;			  3
;				addDefenseMin;			  1
;				addDefenseMax;			  3
;				addLifeMin;				  1
;				addLifeMax;				  1
;				addActionMin;			  1
;				addActionMax;			  1
