Game Object;	Parameter;			  Value
Player;			level;					  1
;				life;					400
;				lifeMax;				400
;				recovery;				200
;				silverKeys;				 10
;				goldKeys;				 10
;				action;					500
;				actionMax;				500
;				attack;					500
;				attackMax;				500
;				defense;				500
;				defenseMax;				500
;				gold;				   9999
;				exp;					  0
;				skillPoints;			 99
;				actionRecoverMin;	    0.6
;				actionRecoverRate;	    0.1
;				lifeRecoverMin;		   0.04
;				lifeRecoverRate;	   0.02
;				attackRecoverMin;	    0.3
;				attackRecoverRate;	    0.1
;				defenseRecoverMin;	    0.3
;				defenseRecoverRate;	    0.1
Boss;			defensePower;			 50
Enemy;			letterChance;			 99
;				turnTime;			   2000
Casino;			unlockLevel;			  2
;				winDollarItems;			 50
;				winDollarAmount;		500
;				winDollarType;		   GOLD
;				winAtItems;			  	 50
;				winAtAmount;		    500
;				winAtType;				EXP
;				winSevenItems;		  	100
;				winSevenAmount;			777
;				winSevenType;		    EXP
;				winStarItems;		  	 50
;				winStarAmount;		   1000
;				winStarType;		   GOLD
Mission;		progressMin;			 50
;				progressRange;			 50
;				letterChance;			 99
;				missionCompleteBonusEXP;  5.0
;				missionCompleteBonusGold; 5.0
Reward;			force;					5.5
;				gravityY;			   9.81
;				lifeTime;			    1.0
;				angle;				   30.0
SkillManager;	addRecoveryMin;			 10
;				addRecoveryMax;			 20
;				addAttackMin;			 20
;				addAttackMax;			 50
;				addDefenseMin;			 20
;				addDefenseMax;			 50
;				addLifeMin;				 10
;				addLifeMax;				 20
;				addActionMin;			 10
;				addActionMax;			 25
